"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rap2b",0.00347208986245996,0.143933607087735,0.357,0.281,1,"EPO_responsive","Rap2b"
"Gar1",0.00351787871241025,0.161438476346504,0.675,0.621,1,"EPO_responsive","Gar1"
"Rfc4",0.00351851552462507,0.155175374678862,0.41,0.349,1,"EPO_responsive","Rfc4"
"Yaf2",0.00355904028659568,0.155207408737972,0.511,0.451,1,"EPO_responsive","Yaf2"
"Hint1",0.00356210565715845,0.0979324716727081,0.977,0.967,1,"EPO_responsive","Hint1"
"Cinp",0.00356620015162582,0.150338143046501,0.298,0.246,1,"EPO_responsive","Cinp"
"Papolg",0.00357990934525813,0.128094407938176,0.115,0.075,1,"EPO_responsive","Papolg"
"AI662270",0.00361446311388489,0.139266840140232,0.856,0.817,1,"EPO_responsive","AI662270"
"Arglu1",0.00369002952164879,0.12452232468322,0.784,0.719,1,"EPO_responsive","Arglu1"
"Lsm6",0.00369084580658096,0.129856332765186,0.787,0.727,1,"EPO_responsive","Lsm6"
"Polr1d",0.00387106122993483,0.132106728698716,0.872,0.839,1,"EPO_responsive","Polr1d"
"Rrn3",0.00389541061778476,0.130984800844821,0.256,0.19,1,"EPO_responsive","Rrn3"
"Vamp5",0.0039322479605823,0.105996680318751,0.895,0.834,1,"EPO_responsive","Vamp5"
"Tbca",0.00401171629650865,0.0937849398320436,0.908,0.862,1,"EPO_responsive","Tbca"
"Ska1",0.00415348457285807,0.121655096622922,0.144,0.112,1,"EPO_responsive","Ska1"
"Stra13",0.00426135509513023,0.126746375821924,0.784,0.728,1,"EPO_responsive","Stra13"
"Top2a",0.00446026888842126,0.0568941976740085,0.564,0.434,1,"EPO_responsive","Top2a"
"Ung",0.00454508124063216,0.176878869387751,0.377,0.313,1,"EPO_responsive","Ung"
"Mcu",0.00482692653335622,0.122468998598802,0.134,0.092,1,"EPO_responsive","Mcu"
"Haus1",0.00483723814881309,0.135060127595474,0.295,0.241,1,"EPO_responsive","Haus1"
"Rad18",0.00496480930881826,0.141136490449032,0.239,0.192,1,"EPO_responsive","Rad18"
"Snhg9",0.00497404147606087,0.17734246896844,0.334,0.292,1,"EPO_responsive","Snhg9"
"Aga",0.00544293232645491,0.142447946415288,0.246,0.188,1,"EPO_responsive","Aga"
